Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Unit_Price,Quantity,Payment_Method,City,State,Store_Type,Salesperson_ID,Total_Sale
TRX-24592,2022-01-24,CUST-5506,Snacks,Batata Chips,14.81,4,Boleto,Rio de Janeiro,DF,Loja de Conveniência,EMP-132,59.24
TRX-22280,2012-04-08,CUST-9279,Carnes,Coca-Cola,56.56,18,Pix,Curitiba,CE,Hipermercado,EMP-928,1018.08
TRX-30926,2012-12-14,CUST-6574,Frios,Batata Chips,22.32,11,Cartão de Crédito,Rio de Janeiro,BA,Supermercado,EMP-467,245.52
TRX-89131,2017-05-26,CUST-1711,Grãos,Leite Integral,54.09,13,Cartão de Crédito,Manaus,RS,Hipermercado,EMP-691,703.1700000000001
TRX-19116,2015-01-22,CUST-4733,Doces,Queijo Mussarela,98.54,8,Cartão de Crédito,Salvador,RS,Loja de Conveniência,EMP-750,788.32
TRX-31319,2017-06-12,CUST-4432,Grãos,Queijo Mussarela,70.48,3,Boleto,Belo Horizonte,AM,Minimercado,EMP-267,211.44
TRX-59735,2019-05-21,CUST-4598,Grãos,Queijo Mussarela,84.44,2,Cartão de Débito,São Paulo,PE,Loja de Conveniência,EMP-374,168.88
TRX-37653,2013-10-23,CUST-6155,Snacks,Arroz Branco,50.42,15,Cartão de Débito,Porto Alegre,MG,Minimercado,EMP-862,756.3000000000001
TRX-80644,2020-05-24,CUST-8019,Carnes,Leite Integral,36.84,5,Boleto,Fortaleza,RJ,Supermercado,EMP-981,184.20000000000002
TRX-30033,2013-11-06,CUST-7916,Carnes,Coca-Cola,39.09,20,Pix,Manaus,RS,Supermercado,EMP-796,781.8000000000001
TRX-25014,2023-11-18,CUST-5371,Doces,Arroz Branco,34.68,10,Pix,Belo Horizonte,CE,Supermercado,EMP-839,346.8
TRX-44522,2023-09-25,CUST-3927,Carnes,Coca-Cola,87.18,10,Boleto,Brasília,PR,Minimercado,EMP-482,871.8000000000001
TRX-31174,2024-09-25,CUST-9689,Bebidas,Filé de Frango,33.09,1,Cartão de Crédito,Recife,RS,Minimercado,EMP-159,33.09
